id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMtbF9IWGpRRRAB,,4 months ago,2023-03-20 21:28:53.752732,3.0,Amit Kale,0,0,https://www.google.com/maps/contrib/110793036052323401445/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMtaF9tN0V3EAE,Sometimes we are eating here,4 months ago,2023-03-20 21:28:53.753615,5.0,Felix Smith,0,0,https://www.google.com/maps/contrib/104172470116680951682/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMtazkzMUdnEAE,,4 months ago,2023-03-20 21:28:53.754642,5.0,Silvaster Antony,0,0,https://www.google.com/maps/contrib/106651208091368531313/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtM2U2YTZ3RRAB,,4 months ago,2023-03-20 21:28:53.755585,3.0,Anna Chua,0,0,https://www.google.com/maps/contrib/112539539136443044839/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMta1ppSXBRRRAB,,4 months ago,2023-03-20 21:28:53.756525,4.0,Roel Dancel,0,0,https://www.google.com/maps/contrib/104422625185892403756/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtZ1plRS1BRRAB,,4 months ago,2023-03-20 21:28:53.757406,4.0,Niraj Bhujel,0,0,https://www.google.com/maps/contrib/116589680802568155130/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtaHRPNDdBRRAB,,4 months ago,2023-03-20 21:28:53.758291,4.0,Vishwa Murugan,0,0,https://www.google.com/maps/contrib/117853630359842998451/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMteXZTcFV3EAE,"Very good food, drink n service! Cash or card accepted! 💕💕 …",4 months ago,2023-03-20 21:29:00.606359,5.0,jabba cruz,0,0,https://www.google.com/maps/contrib/114903148456505896189/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSURHbTdTaFFBEAE,Location wise it is d best.we thoroughly enjoyed the evening.The service is better.,4 months ago,2023-03-20 21:29:00.607414,4.0,Ujwala Rawat,0,0,https://www.google.com/maps/contrib/105320152189270904828/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtM095VG5RRRAB,,4 months ago,2023-03-20 21:29:00.608310,3.0,First Last,0,0,https://www.google.com/maps/contrib/117854671363265899877/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUMtbkxEV1hBEAE,,4 months ago,2023-03-20 21:29:00.609148,2.0,정의태,0,0,https://www.google.com/maps/contrib/108627186626103149875/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUMtMU5QZG13RRAB,,4 months ago,2023-03-20 21:29:00.610058,4.0,Patrice B,0,0,https://www.google.com/maps/contrib/116532137969276604970/reviews?hl=en-US
